Year,Table,County,Birth Weight in Grams,Number of Live Births
2011,11a,Wyoming,2000-2499,17
2011,11a,Wyoming,1500-1999,6
2011,11a,Wyoming,1000-1499,3
2011,11a,Wyoming,Under 1000,3
2011,11a,Wyoming,Total,389
2011,11a,Westchester,Not Stated,1
2011,11a,Westchester,3500+,3597
2011,11a,Westchester,3000-3499,4306
2011,11a,Westchester,2500-2999,1940
2011,11a,Westchester,2000-2499,545
2011,11a,Westchester,1500-1999,157
2011,11a,Westchester,1000-1499,103
2011,11a,Westchester,Under 1000,70
2011,11a,Westchester,Total,10719
2011,11a,Wayne,Not Stated,0
2011,11a,Wayne,3500+,453
2011,11a,Wayne,3000-3499,374
2011,11a,Wayne,2500-2999,136
2011,11a,Wayne,2000-2499,49
2011,11a,Wayne,1500-1999,13
2011,11a,Wayne,1000-1499,3
2011,11a,Wayne,Under 1000,5
2011,11a,Wayne,Total,1033
2011,11a,Washington,Not Stated,0
2011,11a,Washington,3500+,289
2011,11a,Washington,3000-3499,214
2011,11a,Washington,2500-2999,102
2011,11a,Washington,2000-2499,28
2011,11a,Washington,1500-1999,12
2011,11a,Washington,1000-1499,6
2011,11a,Washington,Under 1000,4
2011,11a,Washington,Total,655
2011,11a,Warren,Not Stated,0
2011,11a,Warren,3500+,239
2011,11a,Warren,3000-3499,225
2011,11a,Warren,2500-2999,92
2011,11a,Warren,2000-2499,26
2011,11a,Warren,1500-1999,8
2011,11a,Warren,1000-1499,6
2011,11a,Warren,Under 1000,5
2011,11a,Warren,Total,601
2011,11a,Ulster,Not Stated,0
2011,11a,Ulster,3500+,701
2011,11a,Ulster,3000-3499,617
2011,11a,Ulster,2500-2999,249
2011,11a,Ulster,2000-2499,46
2011,11a,Ulster,1500-1999,31
2011,11a,Ulster,1000-1499,11
2011,11a,Ulster,Under 1000,11
2011,11a,Ulster,Total,1666
2011,11a,Tompkins,Not Stated,4
2011,11a,Tompkins,3500+,378
2011,11a,Tompkins,3000-3499,356
2011,11a,Tompkins,2500-2999,128
2011,11a,Tompkins,2000-2499,29
2011,11a,Tompkins,1500-1999,10
2011,11a,Tompkins,1000-1499,6
2011,11a,Tompkins,Under 1000,4
2011,11a,Tompkins,Total,915
2011,11a,Tioga,Not Stated,0
2011,11a,Tioga,3500+,216
2011,11a,Tioga,3000-3499,180
2011,11a,Tioga,2500-2999,57
2011,11a,Tioga,2000-2499,16
2011,11a,Tioga,1500-1999,7
2011,11a,Tioga,1000-1499,2
2011,11a,Tioga,Under 1000,3
2011,11a,Tioga,Total,481
2011,11a,Sullivan,Not Stated,3
2011,11a,Sullivan,3500+,259
2011,11a,Sullivan,3000-3499,335
2011,11a,Sullivan,2500-2999,134
2011,11a,Sullivan,2000-2499,42
2011,11a,Sullivan,1500-1999,24
2011,11a,Sullivan,1000-1499,5
2011,11a,Sullivan,Under 1000,6
2011,11a,Sullivan,Total,808
2011,11a,Suffolk,Not Stated,4
2011,11a,Suffolk,3500+,5841
2011,11a,Suffolk,3000-3499,6173
2011,11a,Suffolk,2500-2999,2773
2011,11a,Suffolk,2000-2499,742
2011,11a,Suffolk,1500-1999,290
2011,11a,Suffolk,1000-1499,111
2011,11a,Suffolk,Under 1000,93
2011,11a,Suffolk,Total,16027
2011,11a,Steuben,Not Stated,0
2011,11a,Steuben,3500+,419
2011,11a,Steuben,3000-3499,393
2011,11a,Steuben,2500-2999,169
2011,11a,Steuben,2000-2499,46
2011,11a,Steuben,1500-1999,11
2011,11a,Steuben,1000-1499,11
2011,11a,Steuben,Under 1000,9
2011,11a,Steuben,Total,1058
2011,11a,Seneca,Not Stated,1
2011,11a,Seneca,3500+,177
2011,11a,Seneca,3000-3499,132
2011,11a,Seneca,2500-2999,59
2011,11a,Seneca,2000-2499,18
2011,11a,Seneca,1500-1999,7
2011,11a,Seneca,1000-1499,1
2011,11a,Seneca,Under 1000,4
2011,11a,Seneca,Total,399
2011,11a,Schuyler,Not Stated,0
2011,11a,Schuyler,3500+,54
2011,11a,Schuyler,3000-3499,71
2011,11a,Schuyler,2500-2999,27
2011,11a,Schuyler,2000-2499,7
2011,11a,Schuyler,1500-1999,1
2011,11a,Schuyler,1000-1499,1
2011,11a,Schuyler,Under 1000,0
2011,11a,Schuyler,Total,161
2011,11a,Schoharie,Not Stated,0
2011,11a,Schoharie,3500+,123
2011,11a,Schoharie,3000-3499,107
2011,11a,Schoharie,2500-2999,41
2011,11a,Schoharie,2000-2499,11
2011,11a,Schoharie,1500-1999,2
2011,11a,Schoharie,1000-1499,2
2011,11a,Schoharie,Under 1000,2
2011,11a,Schoharie,Total,288
2011,11a,Schenectady,Not Stated,0
2011,11a,Schenectady,3500+,650
2011,11a,Schenectady,3000-3499,644
2011,11a,Schenectady,2500-2999,304
2011,11a,Schenectady,2000-2499,103
2011,11a,Schenectady,1500-1999,29
2011,11a,Schenectady,1000-1499,14
2011,11a,Schenectady,Under 1000,20
2011,11a,Schenectady,Total,1764
2011,11a,Saratoga,Not Stated,1
2011,11a,Saratoga,3500+,908
2011,11a,Saratoga,3000-3499,755
2011,11a,Saratoga,2500-2999,331
2011,11a,Saratoga,2000-2499,97
2011,11a,Saratoga,1500-1999,32
2011,11a,Saratoga,1000-1499,13
2011,11a,Saratoga,Under 1000,11
2011,11a,Saratoga,Total,2148
